taxon,max,min
Herpetocetus_sp_USNM_182962,,
Herpetocetus_sp_VMW_65,2.1,0.7
Heterocetus_major,,
Hoplocetus_curvidens,,
Ihlengesi_saldanhae,16,5.3
Izikoziphius_angustus,16,5.3
Izikoziphius_rossi,16,5.3
Kentriodon_hobetsu,15.97,11.63
Khoikhoicetus_agulhasis,16,5.3
Khoikhoicetus_kergueleni,16,5.3
Kogia_sp_MSNTUP_I13798,5.333,2.58
Kogiinae_indet_ChM_VP4994,5.333,2.58
Lonchodelphis_occiduus,11.6,5.3
Macrodelphinus_valenciennesii,,
Megaptera_brachychira,,
Megaptera_mysticetoides,,
Mesoplodon_bononiensis,,
Mesoplodon_europaeus,0,0
Mesoplodon_hotaula,0,0
Mesoplodon_slangkopi,16,5.3
Mesoplodon_traversii,0,0
Microberardius_africanus,16,5.3
Microzeuglodon_caucasicum,41.2,33.9
Mysticeti_indet_ChM_PV4745,29.6,28.1
Mysticeti_indet_ChM_PV5720,28.4,23.03
Mysticeti_indet_OU_GS10897,33,32
Mysticeti_indet_USNM_314627,33.7,30.6
Nenga_meganasalis,16,5.3
Notiocetus_platensis,2.588,0.0117
Odontoceti_indet_ChM_PV2764,28.4,23.03
Odontoceti_indet_ChM_PV4178,33.9,28.1
Odontoceti_indet_ChM_PV4802,28.4,23.03
Olympicetus_avitus,30.5,26.5
Orcinus_meyeri,,
Otradnocetus_virodovi,15.97,11.608
Papahu_sp_ZMT_73,23,18.7
Parietobalaena_sp_SMNH_VeF62,16.4,15.1
Patriocetidae_indet_ChM_PV2761,28.4,23.03
Physalus_patachonicus,,
Physeter_antiquus,5.33,2.588
Physeterula_neolassicus,2.588,0.0117
Pithanodelphis_cornutus,11.608,2.588
Platalearostrum_hoekmani,3.6,0.8
Platanistinae_indet_MUSM_1611,13.2,12.5
Platanistoidea_indet_OU_22670,23.03,20.44
Platyosphys_einori,41.2,37.8
Plesiocetopsis_notopelagicus,5.33,2.58
Plesiocetus_occidentalis,16.3,13.6
Pomatodelphis_sp_USNM_187414,13.82,11.63
Pontobasileus_tuberculatus,,
Preaulophyseter_gualichensis,23.03,15.97
Priscophyseter_typus,5.33,2.58
Prosqualodon_hamiltoni,28.1,23.03
Pterocetus_benguelae,16,5.3
Rhinostodes_lovisatoi,11.63,7.246
Sachalinocetus_cholmicus,23,11.6
Sagmatias_obscurus,0,0
Salishicetus_meadi,27.82,23.03
Scaldicetus_antwerpiensis,,
Scaphokogiinae_indet_MUSM_3291_et_3405,11.608,5.332
Schizodelphis_compressus,11.608,5.332
Sotalia_maculiventer,,
Squalodelphinidae_indet_MUSM_603,,
Squalodelphinidae_indet_USNM_475496,,
Squalodelphinidae_indet_USNM_475596,23.03,20.43
Squalodon_mirabilis,15.97,11.608
Squalodon_rugidens,,
Squalodon_sp_MAUL_8,20.43,15.97
Squalodon_sp_OU_21798,27.82,23.03
Squalodontidae_indet_ChM_PV_4991,,
Squalodontidae_indet_ChM_PV4961,27.82,23.03
Squalodontidae_indet_ChM_PV4991,27.82,23.03
Stenella_clymene,0,0
Stenella_dubia,0,0
Stereodelphis_brevidens,,
Thalassocetus_antwerpiensis,20.44,11.63
Thalassotherii_indet_USNM_187416,15.97,13.63
Tlaxcallicetus_sp_MU_EcSj5_slash_18_slash_95,28.4,23.03
Tokarahia_lophocephalus,27.3,25.2
Tursiops_astensis,3.5,3
Tursiops_australis,0,0
Tursiops_erebennus,,
Tursiops_subridens,,
Vampalus_sayasanicus,15.97,5.33
Waipatia_hectori,27.3,25.2
Wimahl_chinookensis,23.03,15.97
Xenorophidae_indet_ChM_PV2758,27.82,23.03
Xenorophidae_indet_ChM_PV4746,27.82,23.03
Xenorophidae_indet_ChM_PV5711,27.82,23.03
Xenorophidae_indet_GSM_1098,,
