generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
18250000,2,0.762618,-3834.2,0.248159,0.594043,0.2329
18300000,2,-0.13312,-3837.15,1.07836,0.64452,0.2422
18350000,2,-0.857646,-3832.63,1.83322,0.607182,0.2392
18400000,2,-0.811282,-3832.18,1.66827,0.610773,0.24472
18450000,4,-0.302939,-3831.86,1.42544,0.597346,0.23475
18500000,2,0.115108,-3832.99,0.777336,0.592052,0.244125
18550000,2,-2.14803,-3832.5,3.02115,0.607907,0.2452
18600000,2,-0.34634,-3833.13,1.16483,0.60048,0.2658
18650000,3,0.0366232,-3830.49,1.264,0.587171,0.2336
18700000,2,-1.22159,-3833.64,2.17313,0.612917,0.2433
18750000,1,-0.24802,-3847.31,0.63285,0.635995,0.223067
18800000,2,-2.06389,-3833.22,3.03322,0.622004,0.2307
18850000,2,-0.329705,-3834.92,1.28198,0.613524,0.242425
18900000,2,-0.915436,-3834.97,1.83317,0.612906,0.2368
18950000,4,-2.05795,-3831.55,3.14061,0.6163,0.242025
19000000,2,-0.1421,-3834.29,1.00512,0.610458,0.2365
19050000,2,0.400206,-3836.05,0.623685,0.614319,0.221317
19100000,3,-0.0554312,-3837.06,0.928057,0.628037,0.2331
19150000,2,-1.04218,-3833.25,1.88452,0.612702,0.2346
19200000,4,-3.43669,-3834.84,2.56669,0.62267,0.2391
19250000,2,-0.502127,-3836.49,1.45761,0.595599,0.239667
19300000,2,-1.62656,-3833.06,2.57759,0.599335,0.249131
19350000,2,-0.0351986,-3833.12,0.883387,0.595801,0.24568
19400000,1,0.209292,-3853.33,0.221943,0.629654,0.24604
19450000,3,-0.56966,-3834.27,1.73904,0.599846,0.2578
19500000,2,0.489045,-3835.21,0.506126,0.630287,0.247433
19550000,2,0.682959,-3832.63,0.206211,0.609753,0.2386
19600000,5,-4.01928,-3833.07,4.45102,0.626803,0.2447
19650000,2,-1.1552,-3835.89,1.9958,0.636938,0.2395
19700000,3,-1.14447,-3831.53,2.62934,0.590631,0.2541
19750000,2,0.00145319,-3833.81,0.829183,0.581174,0.248
19800000,2,-0.394389,-3833.44,1.27116,0.597439,0.240757
19850000,2,-0.441519,-3838.48,1.2775,0.646087,0.238
19900000,1,0.301622,-3843.73,0.0639,0.599588,0.221263
19950000,2,-0.351898,-3832.69,1.28929,0.595009,0.24
20000000,2,-1.71142,-3835.98,2.67145,0.624008,0.2443
20050000,2,-2.14674,-3835.93,3.03413,0.653758,0.238033
20100000,2,-0.0086316,-3835.96,0.932084,0.580706,0.249286
