generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
12700000,2,-1.1209,-3838.67,2.19242,0.597814,0.238
12750000,3,-3.76511,-3831.83,5.17696,0.612542,0.239833
12800000,2,-0.416739,-3846.07,1.17257,0.616412,0.2139
12850000,2,-0.756089,-3834.78,1.69141,0.590439,0.2349
12900000,1,-0.34617,-3844.44,0.734424,0.593989,0.22456
12950000,2,-1.4912,-3835.09,2.33521,0.61624,0.2103
13000000,2,-1.28392,-3834.64,2.21402,0.59594,0.2406
13050000,2,-1.32315,-3831.57,2.25682,0.595808,0.2491
13100000,2,-0.0778892,-3835.62,1.01115,0.609581,0.25216
13150000,2,-0.583013,-3834.83,1.52751,0.644223,0.2355
13200000,2,-0.577656,-3834.73,1.45778,0.631976,0.2359
13250000,2,-2.70794,-3838.21,3.68226,0.615087,0.242869
13300000,3,-1.27524,-3834.71,1.9705,0.59858,0.24934
13350000,2,-0.161168,-3835.45,0.994417,0.601475,0.24
13400000,2,-0.562621,-3836.57,1.4923,0.58343,0.2514
13450000,2,-0.661332,-3831.68,1.58157,0.621909,0.246856
13500000,2,-0.995271,-3832.68,1.85221,0.623197,0.228
13550000,2,-0.635535,-3834.81,1.47373,0.593449,0.244533
13600000,2,-0.159203,-3832.2,1.03566,0.588354,0.24705
13650000,2,0.468223,-3832.01,0.50648,0.629263,0.24455
13700000,2,0.366353,-3833.03,0.613389,0.590359,0.2535
13750000,2,-0.570957,-3837.05,1.36721,0.612553,0.24415
13800000,2,0.666413,-3834.85,0.206844,0.598293,0.244707
13850000,2,-0.674936,-3835.49,1.54979,0.593087,0.243511
13900000,2,-0.416034,-3836.42,1.22733,0.596602,0.24625
13950000,2,0.60095,-3837.09,0.42819,0.631633,0.2451
14000000,2,-2.26448,-3833.13,3.06764,0.606105,0.24775
14050000,2,-0.334578,-3832.57,1.27254,0.620034,0.23955
14100000,2,-0.195531,-3832.23,1.12979,0.597029,0.241857
14150000,2,0.722297,-3834.2,0.234065,0.601502,0.247025
14200000,3,0.101418,-3833.53,0.914222,0.601604,0.2347
14250000,2,-1.71192,-3832.01,2.69374,0.621034,0.2407
14300000,2,-0.27496,-3834.54,1.158,0.606264,0.248
14350000,2,-1.4523,-3835.2,2.39027,0.630446,0.2382
14400000,3,-1.50225,-3834.5,2.45072,0.588129,0.234167
14450000,4,-3.41063,-3826.97,4.11965,0.602029,0.255667
14500000,3,-3.28737,-3834.84,4.14324,0.594922,0.2395
14550000,2,0.0280953,-3833.18,0.873885,0.62333,0.243388
14600000,2,-0.176509,-3832.07,1.10861,0.58955,0.23865
14650000,3,-2.0828,-3835.07,3.02219,0.598535,0.23805
14700000,2,0.287131,-3841.14,0.531966,0.628456,0.2427
14750000,2,-0.15272,-3834.54,0.951312,0.604227,0.243633
14800000,2,-0.421071,-3834.34,1.43123,0.619368,0.249825
14850000,2,0.278365,-3832.67,0.653473,0.585935,0.241625
14900000,3,-1.58399,-3832.11,2.85946,0.625044,0.2436
14950000,3,0.89177,-3828.82,0.362389,0.603511,0.235867
15000000,2,0.244896,-3831.44,0.691431,0.595919,0.2429
15050000,3,-0.326326,-3833.01,1.28703,0.598933,0.24195
15100000,2,0.458435,-3837.15,0.291998,0.583519,0.2355
15150000,2,-0.0239979,-3834.47,0.942438,0.59404,0.2463
15200000,2,0.518128,-3835.21,0.433401,0.579522,0.245633
15250000,2,-0.168346,-3833.92,1.08821,0.614258,0.2435
15300000,1,0.311312,-3845.62,0.0654675,0.596323,0.2076
15350000,2,-0.634011,-3835.25,1.47773,0.591082,0.2294
15400000,3,-3.32791,-3831.82,3.28956,0.595025,0.2306
15450000,5,-2.39472,-3834.4,1.31099,0.610768,0.240433
15500000,2,-0.972852,-3834.59,1.88865,0.582783,0.2332
15550000,1,0.226116,-3845.88,0.105425,0.619625,0.2152
15600000,1,-0.583452,-3843.81,0.980378,0.608773,0.20615
15650000,2,-0.980438,-3833.49,1.89415,0.637492,0.2427
15700000,2,-1.4405,-3832.31,2.31243,0.623143,0.253212
15750000,2,-2.45857,-3834.88,3.40301,0.609896,0.2338
15800000,1,0.150767,-3844.99,0.233948,0.604489,0.221
15850000,1,-1.15443,-3845.9,1.52098,0.592498,0.2087
15900000,2,-2.01676,-3833.56,3.00767,0.616122,0.24245
15950000,2,0.286796,-3833.47,0.525309,0.615228,0.2314
16000000,2,0.20656,-3831.81,0.747872,0.607212,0.2429
16050000,2,-1.37448,-3844.54,2.03127,0.63563,0.23106
16100000,2,-0.205727,-3841.42,0.881558,0.631343,0.2335
16150000,2,-0.444436,-3832.57,1.42787,0.591633,0.239
16200000,2,-0.538295,-3834.95,1.47872,0.575405,0.2391
16250000,2,0.529569,-3832.58,0.446159,0.604206,0.2461
